review_id,customer_id,submitted_date,flown_date,origin_location_id,destination_location_id,transit_location_id,aircraft_id,airline,verified,seat_type,type_of_traveller,seat_comfort,cabin_staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended,average_rating,rating_band,el_updated_at,t_updated_at
126942,4002,8/17/2022,7/1/2022,1147,1880,4740,42,American Airlines,FALSE,Economy Class,Family Leisure,1,1,1,1,1,1,1,FALSE,1,bad,36:29.0,18:17.5
120234,4254,3/7/2022,3/1/2022,826,4575,1092,34,American Airlines,TRUE,Economy Class,Solo Leisure,1,2,1,1,1,1,1,FALSE,1.14,bad,36:29.0,18:17.5
97529,4275,7/1/2019,6/1/2019,258,2857,4740,42,American Airlines,FALSE,Economy Class,Family Leisure,1,1,Null,Null,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
115914,4864,8/16/2021,8/1/2021,1092,3483,4740,42,American Airlines,TRUE,Economy Class,Couple Leisure,1,3,2,4,1,2,1,FALSE,2,medium,36:29.0,18:17.5
110561,4891,8/4/2020,8/1/2020,2048,864,4740,42,American Airlines,FALSE,Economy Class,Family Leisure,2,1,1,4,3,4,3,FALSE,2.57,medium,36:29.0,18:17.5
114741,5149,7/10/2021,7/1/2021,2074,834,4740,42,American Airlines,FALSE,Economy Class,Couple Leisure,1,1,Null,Null,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
114742,5149,7/10/2021,7/1/2021,1147,2074,4740,42,American Airlines,FALSE,Economy Class,Couple Leisure,1,1,1,1,1,1,1,FALSE,1,bad,36:29.0,18:17.5
116273,5468,8/31/2021,8/1/2021,3104,3707,2857,42,American Airlines,TRUE,Economy Class,Family Leisure,2,1,2,4,3,3,2,FALSE,2.43,medium,36:29.0,18:17.5
38434,5545,4/22/2015,Null,4740,4740,4740,42,American Airlines,FALSE,Economy Class,Null,1,1,3,1,Null,Null,1,FALSE,1.4,bad,36:29.0,18:17.5
56563,33435,7/17/2016,6/1/2016,2617,864,4740,42,American Airlines,FALSE,Economy Class,Business,1,1,1,1,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
